urllib3.connectionpool | DEBUG | http://127.0.0.1:50749 "POST /session/4eea78cf582b2243a955a914b7b0b3e2/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:55821
urllib3.connectionpool | DEBUG | http://127.0.0.1:55821 "POST /session HTTP/1.1" 400 246
urllib3.connectionpool | DEBUG | http://127.0.0.1:42403 "POST /session/e081dcdf5248d239633f751c73bd605e/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:57241
urllib3.connectionpool | DEBUG | http://127.0.0.1:57241 "POST /session HTTP/1.1" 400 246
urllib3.connectionpool | DEBUG | http://127.0.0.1:58553 "POST /session/9d58b6701ab1939e11b8bd5a098d9a4b/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:34497
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "POST /session HTTP/1.1" 200 641
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "POST /session/0671a005afcfb27b7fc8159852baf805/timeouts HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "POST /session/0671a005afcfb27b7fc8159852baf805/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "POST /session/0671a005afcfb27b7fc8159852baf805/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "POST /session/0671a005afcfb27b7fc8159852baf805/url HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "POST /session/0671a005afcfb27b7fc8159852baf805/url HTTP/1.1" 200 14
Disc_CommonFunctionality | INFO  | Open URL successful
Disc_CommonFunctionality | INFO  | Open URL successful
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "POST /session/0671a005afcfb27b7fc8159852baf805/element HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "POST /session/0671a005afcfb27b7fc8159852baf805/element HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "GET /session/0671a005afcfb27b7fc8159852baf805/screenshot HTTP/1.1" 404 222
urllib3.connectionpool | DEBUG | http://127.0.0.1:34497 "GET /session/0671a005afcfb27b7fc8159852baf805/screenshot HTTP/1.1" 404 222
urllib3.connectionpool | DEBUG | http://127.0.0.1:59981 "POST /session/74e14aadf813af480678dee0869a24ee/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:54121
urllib3.connectionpool | DEBUG | http://127.0.0.1:54121 "POST /session HTTP/1.1" 200 641
urllib3.connectionpool | DEBUG | http://127.0.0.1:54121 "POST /session/8ca0d6e2e1e662932bb95ea66539ced9/timeouts HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:54121 "POST /session/8ca0d6e2e1e662932bb95ea66539ced9/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:54121 "POST /session/8ca0d6e2e1e662932bb95ea66539ced9/window/maximize HTTP/1.1" 200 52
