urllib3.connectionpool | DEBUG | http://127.0.0.1:56128 "POST /session/a9bdb96dcfa3640910dcc1e7fffa5e0d/window/current/maximize HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:56155
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session HTTP/1.1" 200 829
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/timeouts/implicit_wait HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/window/current/maximize HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/window/current/maximize HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/url HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/url HTTP/1.1" 200 72
Disc_CommonFunctionality | INFO  | Open URL successful
Disc_CommonFunctionality | INFO  | Open URL successful
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-1/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-1/displayed HTTP/1.1" 200 72
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/elements HTTP/1.1" 200 105
Browser | DEBUG | Element identified: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
Browser | DEBUG | Element identified: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-1/click HTTP/1.1" 200 72
