urllib3.connectionpool | DEBUG | http://127.0.0.1:47627 "POST /session/bac32955fe7ae0c89a957936b6d8f50d/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:37121
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session HTTP/1.1" 200 641
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/timeouts HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/url HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/url HTTP/1.1" 200 14
Disc_CommonFunctionality | INFO  | Open URL successful
Disc_CommonFunctionality | INFO  | Open URL successful
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/execute/sync HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/execute/sync HTTP/1.1" 200 14
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/elements HTTP/1.1" 200 90
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/elements HTTP/1.1" 200 90
Browser | DEBUG | Element identified: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
Browser | DEBUG | Element identified: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/element/c8861741-22b5-4492-83ff-39c78f99cf2a/click HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/element/c8861741-22b5-4492-83ff-39c78f99cf2a/click HTTP/1.1" 200 14
WebUIOperation | DEBUG | Click operation                                          successful- shows
WebUIOperation | DEBUG | Click operation                                          successful- shows
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/execute/sync HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/execute/sync HTTP/1.1" 200 14
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
